"CountryCode","sim_CHN","sim_USA","infras_frequency","invest_frequency"
"ISL",0.506413338721557,0.396780665090666,1,0
"ISR",0.325853077527895,0.446818188346169,0,0
"ITA",0.42447438893355,0.479645500036128,0,3
"JAM",0.519276189991294,0.357546043747655,0,0
"JOR",0.410413117323931,0.401792084441514,1,1
"JPN",0.39674191593872,0.362563292541103,0,1
"KAZ",0.545227708733959,0.407871944122432,1,0
"KEN",0.469164622968869,0.410067918304406,0,3
"KGZ",0.515617753560067,0.306757539883896,1,1
"KHM",0.486590746129859,0.285807280937283,0,0
"KIR",0.454254556989628,0.380142539058771,2,2
"KNA",0.436105603300166,0.218639541266848,2,3
"KOR",0.502239140132966,0.393389390685414,0,0
"KWT",0.503862243541943,0.334951230129664,0,0
"LAO",0.431997140148801,0.267920182256914,0,1
"LBN",0.403999489158753,0.374097173430196,2,0
"LBR",0.38104304259575,0.336398449757832,0,0
"LBY",0.396703875782804,0.324222540226274,3,0
"LCA",0.437681641135664,0.355993471919444,0,0
"LIE",0.449303185897249,0.413737209790554,0,0
"LKA",0.461830800234196,0.296019554016725,2,3
"LSO",0.546447060085761,0.434873151970854,0,0
"LTU",0.39557393622875,0.436255486573053,0,0
"LUX",0.514611014151344,0.423982580322224,0,0
"LVA",0.538265528947158,0.41462522302126,0,0
"MAR",0.369697888322671,0.226141547206339,0,1
"MCO",0.416815915347644,0.412307648075584,0,0
"MDA",0.423979514291967,0.291016429071655,0,2
"MDG",0.382745453942431,0.280665929067459,2,3
"MDV",0.352529236707642,0.445872911703073,0,0
"MEX",0.4950255596318,0.419018075771026,0,0
"MHL",0.438537644649108,0.402733040679786,0,0
"MKD",0.461329901831913,0.391607761649498,1,1
"MLI",0.492907789010271,0.311388413239478,0,0
"MLT",0.504075704514998,0.502698075242184,0,0
"MMR",0.482126760216214,0.367597071524912,0,0
"MNE",0.438896012071094,0.262927096170458,0,0
"MNG",0.492350256729575,0.317736059822184,1,4
"MOZ",0.511445080831279,0.29557029664727,1,1
"MRT",0.517035732425214,0.368410614490126,3,4
"MUS",0.524102759284126,0.348143695506831,0,2
"MWI",0.401870037042804,0.218194906557726,0,0
"MYS",0.436812514559834,0.507437681340628,0,0
"NAM",0.460994862825934,0.315552773740922,0,0
"NER",0.4101687556188,0.334544039023013,1,0
