"CountryName","AIIB.member","IMF.voting.power","foreign.invest.outflow","foreign.invest.inflow","capital.account","financial.account","reserve.related.item","current.account.balance","total.reserve","GDPgrowth","GNIgrowth","domestic.income","domestic.saving","gross.saving","trade","hightech.export","port.infrastructure","exchange.Rate","mobilephone.access","sim_CHN","sim_USA","infras_frequency","invest_frequency","wordscores"
"Azerbaijan",1,0.11,1987073000,4430466000,-6917000,7391603000,213520807.081524,10208803000,15816417366.0159,2,4.90891508333731,28308310417.0708,42.8254360115162,39.3303460117197,69.5092051585512,32605511,4.3,0.7843475,10552520,0.303205951068515,0.197543532495441,1,0,0.304806824696209
"Burundi",0,0.06,27413.4386193281,81747197.2345183,81823036.7710761,-373123149.269621,6959469.78735873,-393212867.937052,317139664.96812,4.66091818447367,4.7232699789449,1797195792317.65,2.0419382062192,12.7751423881375,41.3070022873188,345775,2.8,1546.68666666667,3193257,0.381818283708947,0.305394026041265,0,0,0.27720779077725
"Belgium",0,1.3,-11894892128.9835,-19303845018.1129,-1380468586.46092,-4461515545.6897,-1355923225.47746,-3607284364.67205,25444420303.4322,1.6531350757175,1.72774500636838,375290989442.89,24.0451660694108,23.8999490689204,165.487681924366,43698592018,6.4,501.127228658648,12734724,0.394720908189145,0.513528092886887,0,1,0.0632509101456422
"Benin",0,0.05,17255303.3652495,405197656.01573,253239772.127611,-617043311.963382,105960614.917058,-884914660.175173,726019873.91355,6.35752095280107,6.49411034276284,4019754532245.97,16.1954370246901,18.5887139042234,76.5308886342327,3979179,3.35597655698142,494.414952864937,8660432,0.491832543038935,0.336468042683414,1,0,0.356326956805533
"Burkina Faso",0,0.05,69453805.5554736,356821732.388408,404900779.881322,-600404575.710906,-282552057.643409,-997625571.681976,297099531.053204,4.03033688754959,2.45882824091828,4635690829754.38,17.0484452235499,18.0143770271876,66.0565466009737,13333668,3.1,494.414952864937,12494391,0.489143016035168,0.30815118068937,2,1,0.373918720050654
"Bangladesh",1,0.24,41769923.686296,2539190939.68371,496603398.348163,161548677.08588,4571033502.70581,755790761.660141,22319791707.9921,6.06109305375394,4.75914341099242,7532089322721.47,22.0431155047681,37.7324657582395,44.5140801968096,8334619433.45525,3.7,77.6414083333333,126866091,0.441301103560474,0.319678789365321,2,3,0.328094079732516
"Bulgaria",0,0.21,882360000,2067540000,1251090000,-369530000,2338106387.94764,100350000,20129701290.2676,1.32884972234031,2.7133206929423,78925248352.5677,20.4925647512856,23.4687431418708,130.967908582605,1079617724,4.2,1.47418333333333,9486927,0.444708510604396,0.341211560650689,0,0,0.279429029961841
"Bahrain",0,0.11,-79521276.5957447,957712765.957447,1e+08,-3151595744.68085,556484442.316848,1123670212.76596,6229407001.85407,4.35048360348598,0.111761265221659,10774330152.2436,43.9442144119142,19.8983573075201,116.88352034208,46729049,5.7,0.376,2328994,0.469466241903585,0.317339121211806,1,0,0.347207312777781
"Bahamas, The",0,0.07,397479000,251277428.82,-2036513529.62075,-1463334166.29999,51514746.8812508,-1928317811.35429,874337365.33223,-0.524452896217284,-1.72363345204522,7281623000.64052,12.4181483305927,7.33446456247028,103.791651547173,0,4.86316357589881,1,314842,0.353133777194872,0.264949527777562,0,1,0.256698266111995
"Bosnia and Herzegovina",0,0.08,8339380.54821991,523013851.017251,299131402.465438,-961090950.036413,376988578.633637,-1369090403.39399,4860208944.67435,1.08187567036184,0.525367697841943,26068568287.0796,-4.6125089404223,10.6522408865218,90.8028384771823,91727882,3.81047811267909,1.474169186794,3491188,0.428834524258092,0.383571640027698,1,3,0.261440016715376
"Belarus",0,0.16,73400000,1.862e+09,7700000,-5670700000,-2145867127.69311,-5227699999.99999,5067717213.84858,1.72308600279749,2.41172420440689,27887287865507.9,34.7669891595457,28.6058848285112,114.590306295622,660475200,4.76857833494477,1.02241025,11401927,0.426523835828196,0.479434831020555,0,0,0.140636367557875
"Belize",0,0.03,2734613.811,141097030.34391,34230153.21,-82230741.4018921,84873141.5275745,-135861423.197634,486876895.2176,4.08349492414737,3.26217093464824,2628713455.27878,15.4480318125354,11.7320255607299,138.073796103846,0,3.80000115554494,2,172300,0.426326877745582,0.334308672697762,4,7,0.230878300589375
"Bolivia",0,0.06,0,72595676.521648,1170693212.09122,1895298036.97015,971671624.993582,-16356619.9794998,15129278397.2712,5.45898615116793,7.03438532714773,42296118458.4518,22.3557481447694,20.7721358653188,85.2642936088841,33144149,2,6.91,10450341,0.430892384142737,0.455056840476683,0,1,0.146885829033708
"Brazil",1,2.22,26039686230.16,96894980842.28,231478557.4,-100598529768.205,10832925298.3761,-104181322040.975,363570247226.591,0.103371359100009,2.80323539777383,1947850539847.57,18.1307331585583,16.2333139616432,25.1074585348785,8228775226,2.7,2.35295196276669,280728796,0.424977983580247,0.34856116667631,3,5,0.254092148758293
"Barbados",0,0.05,-22264031.310932,485583034.787356,-990916606.266795,-2083281158.51982,-14827893718.2403,4353257793.66376,632258990.00205,0.198484301696141,0.0842147996506668,961034158.103426,1.0361303207552,14.962969277349,85.6461647285883,24928712,5.3,2,305456,0.470028497501364,0.29158946609458,0,2,0.36001109958687
"Brunei Darussalam",1,0.09,381819000,567889727.238288,-604526342.044376,4308779896.13281,246122420.750102,5250593999.71505,3648819902.2697,-2.349746749517,-1.30589116180276,21886018524.0964,65.4159944687716,62.0088235001309,99.2256280248905,55449872,5.2308203418931,1.2670401230814,452054,0.528856273431604,0.419979445768062,0,0,0.288818848680088
"Bhutan",0,0.03,5889711122.6849,8361993.41265386,276308512.811065,-157887077.71229,70520032.1503624,-483645523.206761,1245086703.69609,5.74545516756977,5.72083586052403,55628923966.0282,30.6535905067347,28.71420209516,93.6226199498435,-5538420765.15598,2.1,61.0295144607843,624536,0.447962265631097,0.352477618752451,0,0,0.256750014457684
"Botswana",0,0.07,111367029.138173,515184471.01724,3024539018.71667,967132760.509501,1260084997.5194,2481329752.4159,8322776785.14574,3.20494016684154,3.48805668986122,93346495817.6308,37.6775060582078,46.3478292097464,117.513594323331,16518448,3,8.97608333333334,3410507,0.495397463502641,0.276332605587213,1,0,0.383638268425619
"Central African Republic",0,0.05,0,3475007.99095347,-246490336.934448,637492195.351593,7835283430.22979,-1759772898.83805,259571703.84619,1.04001804711078,-1.60759371981509,43962652251189.9,-14.3327054984522,15.159407144707,50.5926182667035,-952699020.982037,3.72272625831968,494.414952864937,1155620,0.404102426904426,0.286041631074964,0,0,0.335282844028007
"Canada",0,2.22,62203420725.025,65440742032.1611,361147032.68824,-39037783384.6029,5244999139.24262,-40562331761.2182,74700002863.9467,2.47289263838321,2.34295445040154,1829353023460.37,23.294575941832,21.6707870320336,64.2562275632107,31535108526,5.5,1.10610494395711,28789000,0.332126952542815,0.500748357802196,0,1,0.00151263764615428
"Switzerland",1,1.18,7469528385.20016,18375399204.5006,-11755951307.1089,47102803622.1413,35899751004.4048,63514006492.5809,545787304073.241,1.99688615861997,1.10006352723582,641984727846.25,34.8718457315499,33.0817401202945,117.933809851844,55906710140,4.9,0.916151047283613,11150000,0.50198568403473,0.56328351946904,0,0,0.0940002295180227
"Chile",0,0.38,12914542551.5463,22342201009.3271,10235478.78,-3843698283.28729,1056822985.93818,-3316375844.38309,40447384439.2193,1.87639539712494,2.81237868556505,121105214248881,23.0505045570621,20.8047048739931,65.9439000155231,658843080,5,570.34821612744,23680718,0.502003780122284,0.354094524524917,0,0,0.284457521847908
"China",1,6.09,123129554305.76,268097181064.335,-32747983.92,169141157551.48,117783550754.474,277433901970.647,3900039358441.22,7.29766595938162,8.30573504374877,2397522842401204,49.5158300616174,49.6565097673628,45.6519243452375,558605991980,4.6,6.14343409448867,1286093000,1,0.470202679017315,0,0,1
"Cote d'Ivoire",0,0.16,16197324.1103122,438772529.1506,-3086031575.20372,-2045940769.41099,-21784101439.1869,1542625986.18312,4478497714.77663,8.48634556824589,6.29225715466862,15212415794246.5,23.9744482358643,17.9905311771285,77.6429995916437,72379188,5.1,494.414952864937,22104575,0.411200204172434,0.317839782282086,1,1,0.2942353926808
"Cameroon",0,0.08,-106078000,553939000,2267425793.46516,12905082289.1939,4529347850.38692,13658432057.0859,3168216936.52009,5.92696495921939,7.22778171692826,11328301108830,11.3206181465134,16.4393746311165,52.886418086626,26702495,3.6,494.414952864937,17270312,0.335414184634499,0.194610139829714,0,0,0.292935555995435
"Congo, Rep.",0,0.05,6253000,5502260246.9585,289124220.729646,19011941941.766,18606108040.9721,16899516128.5892,4926098410.13882,6.77994095325852,19.1972128317247,2163677761071.56,44.0341216165728,30.2652051922851,143.23939663192,47798389,4.08119598466138,494.414952864937,4930100,0.404500446958696,0.309494122117738,0,0,0.283294276738779
"Colombia",0,0.44,3898950996.12,16324501690.4339,1853069558.25988,-19598714706.1273,4435551310.07518,-19459274656.5459,46809448377.1666,4.38571090109774,4.88712508502856,541450472537188,20.8675574846932,18.7115089350787,37.3157440337106,724222055,3.7,2001.781048176,55330272,0.460231379913717,0.463310496376192,0,1,0.176279279791049
"Comoros",0,0.03,0,4678330.4361,101984363.147085,-27004224360.3454,-7346364021.06112,-30885652111.4826,171159562.37072,2.06163946899514,2.24396006979572,101563258129.135,-16.0658266110489,-0.782078567152638,77.1735467813762,92113373.4719011,3.12687162948086,370.811403081387,383000,0.483653380095164,0.357244516484474,0,1,0.309297842237541
"Cabo Verde",0,0.03,12930689.1424214,135815356.784017,8065552.79644486,-131094034.477348,90707151.1519771,-168466304.710818,510930784.893481,1.86480806888412,4.99987326792342,-80304694738293.3,9.77217172361239,5.87347401754927,58.5119340076603,331,3.9,83.1138883378279,613378,0.51831450376079,0.311502946282489,1,0,0.400507065237906
"Costa Rica",0,0.1,398374657.046146,2951515624.15192,-28241373.680488,-2824445460.88048,-113205658.559785,-2432298366.59546,7211432698.28076,2.97525403263322,2.49455669948833,24681417468092.1,16.5551225313409,26.1438470778336,67.1617463976511,2239269645.53445,3,538.317200279058,7020412,0.534116635001091,0.459275082196256,0,0,0.227538687875955
"Cuba",0,0,21910702348.9664,14387394723.4442,1801215225.10938,-33881038657.0523,20266304503.0685,-44378252806.8759,31144269945.5163,2.18041335155468,3.9370184776009,381901233029927,25.3658658939896,21.3357745468977,112.980879280403,-2095529322.63028,4.93713885930984,1010.98890780046,2530752,0.485231027164668,0.372665067016831,0,0,0.246490880256786
"Cyprus",0,0.09,-2392892755.69188,-754354504.948983,195476131.174634,-1720466459.5717,-224971366.303275,-1008207208.18084,893891173.35885,-1.53145163363409,-0.501930461876228,15333700876.4872,14.3743524938238,7.9528950997461,122.331705317805,29195221,4.9,1953.20552845043,1110802,0.48201936397339,0.397208475805432,0,0,0.258010821422486
"Czech Republic",0,0.46,4074227998.42192,8088661929.8803,1571559326.32321,3118083182.22395,3540103740.9857,437938637.643506,54495073761.5879,2.71511613157801,1.76606394297691,4107060599895.2,32.2448084502974,25.3171881450295,158.726956742669,23084215820,4,20.7575,13913100,0.506419156944555,0.415337650258277,0,0,0.228243358665378
"Germany",1,5.33,115033368516.468,9444773927.54354,1771452603.71808,323910329454.027,-3295286463.32398,281300504778.904,193484844885.189,1.59533809824777,1.43544263703659,2737239823129.94,26.2836661616386,27.1154328854752,84.7810652101794,199718151684,5.7,-3116.24772879565,99530000,0.478213461188876,0.506486400562439,0,0,0.117608052902002
"Dominica",0,0.03,2042592.59259259,35410370.3704,-832687407.129202,5858223124.48842,-4956665596.52146,12031148309.9429,101447742.927629,4.18696309141492,2.92363204100093,121033931279858,3.24249123034607,9.8684299931684,93.7642597816045,-5112863847.39614,4.24536548751196,2.7,73886,0.367099302761909,0.327072125926199,2,4,0.223387781218054
"Denmark",1,0.71,8401906674.09501,-677385204.194261,-55743732.8535471,28551568449.3991,-7998667764.8485,21421473416.7637,75391898442.9736,1.26190583842356,1.54571781825197,1842057826073.48,25.9635619360604,27.5314922003581,100.70169423819,9762544928,5.8,5.61246666666667,7160233,0.566967460652093,0.512920462012187,0,0,0.19392424971407
"Dominican Republic",0,0.12,176800000,2385300000,2200000,-3278163206.40867,650681633.255942,-2140555000,4861785595.87246,7.6089648355893,7.41387218071507,1932506711565.44,18.776168266702,20.3767024950848,56.3313119879206,193265639,4.6,43.5559626980453,8303536,0.387271714463472,0.435568717656181,2,0,0.137469528835361
"Algeria",0,0.42,-18438627.0996402,1503453102.19186,-3120500.63486738,-9676794652.77223,-5941035648.27591,-9506888926.87471,186350597819.058,3.7999999999999,3.51902673254749,395276736619.055,44.1549307951675,43.4671089331648,62.5105145092884,3308544,2.8,80.5790166666667,43298174,0.470309628717262,0.344616411558858,0,1,0.306505349868476
"Ecuador",0,0.17,76552000,772935946.091118,86786649.2521143,-711772569.829258,-474126806.899287,-573963115.130203,3941357328.43794,3.992708508769,3.90096483177602,71750770385.785,26.6812171321662,27.3738664939811,57.4888950542299,74240721,3.91657340674743,1387.0862058561,16605737,0.421619346931534,0.357067576539901,0,7,0.251045985003216
"Egypt, Arab Rep.",1,0.43,252700000,4783200000,192500000,-4112200000,-3259471704.72191,-5972100000,14927002166.4156,2.22879101389299,2.41453265620505,1731144513457.56,5.28093629573243,12.0342597554593,37.413768495171,176345548,4.2,7.07760856060606,95316034,0.363331888616143,0.361929030145797,0,1,0.201085782304981
"Eritrea",0,0.03,2324089992.04735,46510785.84,1545825165.31538,1199681725.02678,22231037230.3671,-10619134332.3163,39040751494.255,2.9607571557768,6.09779592374607,153185802198905,13.4363856343951,18.4967238147205,64.6476051009527,-3339440043.02465,3.45538691966987,15.375,417400,0.467246618779484,0.386314330649591,0,0,0.258533572716939
"Spain",1,1.93,45275979852.6233,35775858956.5103,6598655170.31753,14361794337.0969,4855194817.64657,14151708462.4127,50411867872.7529,1.36067301686447,1.42148771177506,1020240383613.26,22.2727534672865,20.7953320919813,62.595854623689,15400981205,5.8,-191.937085610952,50806251,0.465191799363479,0.407074459936646,0,0,0.213057680818388
"Estonia",0,0.08,834743079.205288,1681871383.10453,283547560.25144,317326679.966284,164200811.982412,225481485.184652,436833333.684,2.82292271752804,2.51028598314038,17605423297.1199,30.6295851100173,29.2327377878628,162.59420748295,1328425394,5.6,1463.68162585336,2062864,0.534569889324315,0.486298955087606,1,0,0.15106478981063
"Ethiopia",0,0.09,-12926751672.2335,2.132e+09,2414001645.75253,-20321672757.675,-38822676.402346,-28639629915.332,-6177877895.05424,10.2791870240632,10.213678977177,702505226512.591,20.5358809767865,9.93975763038882,40.7410841536333,23602365,2.6,439.197200779793,30490000,0.417343739921436,0.364496121791519,0,0,0.265783816882612
"Finland",1,0.51,-166302878.924341,17276980178.6346,247171696.259959,-13120348454.3217,-284044596.690679,-3205025294.81171,10679258852.7593,-0.708430320817726,-0.146228048497861,185952667011.323,20.0254182816852,19.7174218147109,76.2967219181551,3961279492,6.4,-616.198043932608,7602600,0.458812388469705,0.339600649380133,0,2,0.246346216646427
"Fiji",0,0.05,38349999.9957284,347993346.472806,4324850.11273505,-516948188.550336,22213414.5765811,-338987159.737123,916407427.304208,5.4464695320049,4.17921514091185,-34733734027430.2,9.78559106559615,11.6821691806239,119.2324780316,3246115,3.93195409542552,1.88734972339858,876176,0.351267921762506,0.390889877941088,0,0,0.10461577993311
"France",1,4.04,46788374028.2232,-1048274593.7172,2861103475.65164,-11761055555.5268,1110976838.98347,-31473163118.6491,143977170862.924,0.636621653309263,0.570512984024774,2065595821104.17,20.5238032041661,19.6316539381509,59.8814746416295,114697237252,5.2,-1236.41977151546,65425000,0.361239811055836,0.406327168031276,0,0,0.190070707793939
"Micronesia, Fed. Sts.",0,0.03,-511900,20209300,21231500,37800500,10509971.4586887,22407600,114124980.53687,-3.40290533062534,-3.93280571260021,-170529138269656,16.5395747827116,13.0827343727607,78.9940521383482,739501823.035091,4.04330440864519,1,41841392.6111275,0.383452126272322,0.306046604918808,1,0,0.265883838538879
"Gabon",0,0.07,-35779000,1011296178.31174,1886935246.21194,-1610274601.01676,7785907820.66829,-12582227201.9839,2478481052.48833,4.31487712529,12.9324044128091,7409677808843.44,50.6604114667076,35.8472193547446,73.5204674597978,2795178540.35329,3.1,494.414952864937,2932731,0.463098538470437,0.272660505626978,1,1,0.377723845903519
"United Kingdom",1,4.04,-119375111690.2,71364193884.4795,-658101137.280527,-128446338766.226,10140271767.2186,-139686372781.768,107727629479.029,3.07048379406776,2.3242802571725,1713617631547.26,15.4212391905535,12.7500234089864,58.1367696764848,70652924421,5.6,0.607729626878255,78460684,0.360336061129247,0.537270606526622,0,0,-0.0852393926804558
"Georgia",1,0.07,406550711.2,1749816566.67,107938060.34,-1721566936.23,-98036732.3976229,-1750645357.67,2699169996.3529,4.62333190661251,5.67120659942762,10649228692.5629,12.2803619026352,20.0464886517407,103.41376559021,25939625,4.2,1.76566666666667,5400766,0.444932264352304,0.391318019434222,0,4,0.154434133855161
